"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
2;"J7";"JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
3;"J6";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
4;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
5;"U3";"QFP50P900X900X160-48N";1;"STM32L010C6T6";;;
6;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
7;"U1";"SOT-223-3_TabPin2";1;"AMS1117";;;
8;"Reset1";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
9;"R2";"R_0603_1608Metric";1;"10k";;;
10;"R1";"R_0603_1608Metric";1;"R";;;
11;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
12;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Bandeau leds";;;
13;"J3";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
14;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
15;"C14";"C_0805_2012Metric";1;"0.1µF";;;
16;"C13,C2";"C_0603_1608Metric";2;"0.1µf";;;
17;"C12,C11,C9,C8";"C_0805_2012Metric";4;"1µF";;;
18;"C10,C7,C6";"C_0805_2012Metric";3;"22µf";;;
19;"C5";"C_0603_1608Metric";1;"22µF";;;
20;"C4";"C_0603_1608Metric";1;"22µf";;;
21;"C3";"C_0603_1608Metric";1;"1µF";;;
22;"C1";"C_0603_1608Metric";1;"100nF";;;
